model_name,feature,outcome_score,stage_score,non_null_share,combined_score,league,rank,selected
gbdt,elo_home_prob,0.32431360171853635,0.2372511202115073,1.0,0.4573514937925639,NBA,1,1
gbdt,arena_shot_volume_effect,0.2828739833289276,0.2827536647043991,1.0,0.43183776597546725,NBA,2,1
gbdt,diff_form_point_margin,0.29410980353936905,0.24279654747028134,1.0,0.4290885951539675,NBA,3,1
gbdt,dyn_home_prob,0.2687306211439646,0.22168534930351927,1.0,0.3963204934001963,NBA,5,1
gbdt,diff_shot_volume_share,0.2386993650169539,0.29246821334490103,1.0,0.39106323968766926,NBA,6,1
gbdt,elo_away_pre,0.24537431857186692,0.16835702239774486,1.0,0.3542992764110776,NBA,8,1
gbdt,away_r14_field_goal_attempts_against,0.1379376730313682,0.40943021737580615,1.0,0.33123824911290034,NBA,10,1
gbdt,dyn_away_mean,0.21801509242882527,0.16518759280449388,1.0,0.3258307499103981,NBA,11,1
gbdt,home_ewm_shot_volume_share,0.1910367626423289,0.23876353098509412,1.0,0.32460399848711186,NBA,12,1
gbdt,home_ewm_point_margin,0.2067901658024442,0.19063076134234733,1.0,0.32351093227226574,NBA,13,1
gbdt,away_ewm_point_margin,0.21135959748265973,0.15486039163675283,1.0,0.3155607345555232,NBA,14,1
gbdt,elo_home_pre,0.20260436417968541,0.1674912775774776,1.0,0.31122631133180256,NBA,16,1
gbdt,away_r14_points_against,0.18789088432541237,0.20257037173155115,1.0,0.3087905144314553,NBA,17,1
gbdt,away_r5_field_goal_attempts_against,0.10709256832911722,0.4185034944408271,1.0,0.3035687913834067,NBA,19,1
gbdt,home_r14_points_against,0.171165230870618,0.22422674037976348,1.0,0.2996445900035352,NBA,22,1
gbdt,home_ewm_field_goal_attempts_for,0.0984708468593961,0.4318634172394132,1.0,0.2996230428931907,NBA,23,1
gbdt,away_r14_scoring_efficiency_proxy,0.07625727534248589,0.4950636497867413,1.0,0.2995295527678453,NBA,24,1
gbdt,home_r14_scoring_efficiency_proxy,0.08481577145999897,0.4689035917384891,1.0,0.2989320285684702,NBA,25,1
gbdt,away_r14_shot_volume_share,0.17184814989356195,0.19334508601310366,1.0,0.2895189299981482,NBA,30,1
gbdt,dyn_home_mean,0.1841285514302085,0.15480453848329095,1.0,0.28831013989936033,NBA,31,1
gbdt,home_r5_points_against,0.16054842027873556,0.20356483053074056,1.0,0.28179611096449475,NBA,35,1
gbdt,diff_roster_depth,0.16602350979341007,0.17641833395295017,1.0,0.2777699266769426,NBA,37,1
gbdt,away_games_played_prior,0.06026362685028865,0.4720129577284899,1.0,0.2754681620552601,NBA,41,1
gbdt,home_ewm_field_goal_attempts_against,0.0670332351029782,0.4416292568513364,1.0,0.27160347500094595,NBA,47,1
gbdt,away_ewm_possession_proxy,0.05271882626590979,0.47771715939956916,1.0,0.269919832055759,NBA,50,1
gbdt,away_r5_shot_volume_share,0.15208204963808036,0.17396226276343313,1.0,0.26296884160528194,NBA,56,1
gbdt,away_r5_points_against,0.15308544502821417,0.1591732494442628,1.0,0.25879608233370616,NBA,57,1
gbdt,away_roster_depth_index,0.14276220079985105,0.14253105400996793,1.0,0.24264806970333985,NBA,58,1
gbdt,away_r5_field_goal_attempts_for,0.023001008684015098,0.4475247628510824,1.0,0.22963467568189394,NBA,59,1
gbdt,home_r5_possession_proxy,0.005652461912404553,0.47961280688731195,1.0,0.22351694432296376,NBA,61,1
gbdt,discipline_foul_pressure_diff,0.02212522580926578,0.4252397268482332,1.0,0.22095913020614738,NBA,62,1
gbdt,home_ewm_points_for,0.08920699102026089,0.2275964224874359,1.0,0.21886573889086341,NBA,64,1
gbdt,home_r14_possession_proxy,0.009921132039560914,0.4444260262672665,1.0,0.2154702412331042,NBA,65,1
gbdt,away_ewm_points_for,0.07928925189131183,0.23505668176601457,1.0,0.2115590905094169,NBA,66,1
gbdt,away_r14_field_goal_attempts_for,0.0021481967082791023,0.4512356152708796,1.0,0.21008066205308695,NBA,67,1
gbdt,away_r14_points_for,0.06362684113258363,0.27099493377754397,1.0,0.20847506795472398,NBA,68,1
gbdt,home_r14_points_for,0.07154144128620085,0.23285205557570487,1.0,0.20303966073769752,NBA,69,1
gbdt,dyn_var_diff,0.0665971884105312,0.2367772474323687,1.0,0.1994692250118602,NBA,71,1
gbdt,rest_diff,5.536724221240272e-05,0.04038202179684614,1.0,0.06418907487110856,NBA,102,1
gbdt,travel_diff,0.0,0.0,1.0,0.05,NBA,122,1
gbdt,arena_margin_effect,0.2885500842338549,0.2567551913064597,1.0,0.4284144011911158,NBA,4,0
gbdt,diff_form_win_rate,0.24640679695746018,0.2009142788489755,1.0,0.3667267945546016,NBA,7,0
gbdt,away_r14_point_margin,0.22006792675554412,0.1837341296112781,1.0,0.33437487211949146,NBA,9,0
gbdt,home_r14_point_margin,0.19855882820664386,0.18154203706613134,1.0,0.3120985411797898,NBA,15,0
gbdt,away_ewm_field_goal_attempts_against,0.10912871689111676,0.4227366042329827,1.0,0.3070865283726607,NBA,18,0
gbdt,away_r5_point_margin,0.20188453799952916,0.14512708790244805,1.0,0.30267901876538594,NBA,20,0
gbdt,home_r14_shot_volume_share,0.17673970676375722,0.20859984373068904,1.0,0.2997496520694984,NBA,21,0
gbdt,home_r5_point_margin,0.1863767912099862,0.17869780609022923,1.0,0.29892102334156645,NBA,26,0
gbdt,home_r5_shot_volume_share,0.16787356815641133,0.23037807609354402,1.0,0.29850589478915174,NBA,27,0
gbdt,home_ewm_points_against,0.17318014650547708,0.20675028727283662,1.0,0.2955427470509699,NBA,28,0
gbdt,away_r14_possession_proxy,0.08194263891664373,0.46506549108516226,1.0,0.2947155607964505,NBA,29,0
gbdt,away_win_rate_ewm,0.19015250715143683,0.13587243323863382,1.0,0.2877078587849587,NBA,32,0
gbdt,home_r5_field_goal_attempts_for,0.0883605897340672,0.4205984247285202,1.0,0.28557003838904926,NBA,33,0
gbdt,home_ewm_scoring_efficiency_proxy,0.07415725860875587,0.4532124920283676,1.0,0.2827816308186845,NBA,34,0
gbdt,away_ewm_points_against,0.1658844217333645,0.18090574892717792,1.0,0.27920143385787677,NBA,36,0
gbdt,availability_depth_diff,0.16602350979341007,0.17641833395295017,1.0,0.2777699266769426,NBA,38,0
gbdt,home_r14_field_goal_attempts_for,0.08607311105172945,0.40391642246465587,1.0,0.27744385891435897,NBA,39,0
