aggregate_id,as_of_utc,model_name,window_label,start_date,end_date,n_games,log_loss,brier,accuracy,auc,ece,mce,calibration_alpha,calibration_beta,created_at_utc
146,2026-03-04T05:23:27+00:00,two_stage,cumulative,2025-10-23,2026-03-03,1750,0.6838378492145435,0.11194822250235799,0.864,0.9264175757385227,0.09650750412439765,0.33148321730895586,0.1843027493990755,0.26826989536297685,2026-03-04T05:23:27+00:00
150,2026-03-04T05:23:27+00:00,two_stage,90d,2025-12-03,2026-03-03,1142,1.0473454703745504,0.17154657359646538,0.7915936952714536,0.8671525215252153,0.14845379114753593,0.33148321730895586,0.17129086098449384,0.1997050447474913,2026-03-04T05:23:27+00:00
147,2026-03-04T05:23:27+00:00,two_stage,7d,2026-02-25,2026-03-03,106,0.6980643784545418,0.20333157394635082,0.7169811320754716,0.8257246376811594,0.16759962380854657,0.34444583249484273,0.8402854733200043,0.48698341598666317,2026-03-04T05:23:27+00:00
149,2026-03-04T05:23:27+00:00,two_stage,60d,2026-01-02,2026-03-03,704,1.6987238509831242,0.27827544774586543,0.6619318181818182,0.7095952218651606,0.24105259864614254,0.33148321730895586,0.15414656759596154,0.10243662898759576,2026-03-04T05:23:27+00:00
148,2026-03-04T05:23:27+00:00,two_stage,30d,2026-02-01,2026-03-03,240,0.7646188297388501,0.23615217992269968,0.6875,0.7977408354646207,0.19353941450969792,0.5279213927223236,0.7350018955996768,0.3770287178980227,2026-03-04T05:23:27+00:00
141,2026-03-04T05:23:27+00:00,simulation_first,cumulative,2025-10-23,2026-03-03,1750,0.6968137748936516,0.25138691999999996,0.528,0.546430779548765,0.060553959183673484,0.2622380952380952,0.08984819614521519,0.39861623501585164,2026-03-04T05:23:27+00:00
145,2026-03-04T05:23:27+00:00,simulation_first,90d,2025-12-03,2026-03-03,1142,0.6897787803666876,0.24769871567961688,0.5621716287215411,0.576260762607626,0.03382937202902174,0.2622380952380952,0.07747661271727593,0.5126851109225189,2026-03-04T05:23:27+00:00
142,2026-03-04T05:23:27+00:00,simulation_first,7d,2026-02-25,2026-03-03,106,0.6930884940783218,0.24950464998074703,0.6037735849056604,0.5594202898550724,0.0712345013477089,0.2322142857142857,0.2494479455609239,0.382140851462604,2026-03-04T05:23:27+00:00
144,2026-03-04T05:23:27+00:00,simulation_first,60d,2026-01-02,2026-03-03,704,0.6797635724391557,0.2426776184485158,0.5852272727272727,0.6028986918557471,0.03402719155844153,0.2622380952380952,0.11158608303829548,0.6155564428821187,2026-03-04T05:23:27+00:00
143,2026-03-04T05:23:27+00:00,simulation_first,30d,2026-02-01,2026-03-03,240,0.6622907831911554,0.23330130969387755,0.625,0.6518897414038078,0.07538928571428569,0.2622380952380952,0.2799326533265625,0.6850470284945088,2026-03-04T05:23:27+00:00
136,2026-03-04T05:23:27+00:00,rf,cumulative,2025-10-23,2026-03-03,1750,0.06732317175529803,0.007970507382850505,1.0,1.0,0.06277724826206735,0.31574028457729664,0.045547211109991145,3.4423633532592355,2026-03-04T05:23:27+00:00
140,2026-03-04T05:23:27+00:00,rf,90d,2025-12-03,2026-03-03,1142,0.08155063909916736,0.010580592493884381,1.0,1.0,0.07548705846512346,0.31574028457729664,0.005133057589252073,3.393788431739014,2026-03-04T05:23:27+00:00
137,2026-03-04T05:23:27+00:00,rf,7d,2026-02-25,2026-03-03,106,0.08446954120625877,0.0075047412196452765,1.0,1.0,0.0804334569174418,0.1241486108084137,0.2256700133789324,2.01622488849647,2026-03-04T05:23:27+00:00
139,2026-03-04T05:23:27+00:00,rf,60d,2026-01-02,2026-03-03,704,0.11854963845045664,0.01651436414693821,1.0,1.0,0.10906253455736452,0.31574028457729664,-0.008112699152504108,3.3867374689222594,2026-03-04T05:23:27+00:00
138,2026-03-04T05:23:27+00:00,rf,30d,2026-02-01,2026-03-03,240,0.07961680230843467,0.0070274309736766995,1.0,1.0,0.07583194811891535,0.1268639980931865,0.23587175386270134,2.2966678263001388,2026-03-04T05:23:27+00:00
131,2026-03-04T05:23:27+00:00,goals_poisson,cumulative,2025-10-23,2026-03-03,1750,0.6893531987903054,0.2481275397142857,0.5314285714285715,0.5460325693985979,0.035630666666666644,0.3761111111111111,0.07400565598559078,0.6201653881702303,2026-03-04T05:23:27+00:00
135,2026-03-04T05:23:27+00:00,goals_poisson,90d,2025-12-03,2026-03-03,1142,0.6882661859596306,0.2475586206946877,0.542907180385289,0.5583886838868388,0.016025977816695833,0.3761111111111111,0.06805113090085901,0.6601079088380554,2026-03-04T05:23:27+00:00
132,2026-03-04T05:23:27+00:00,goals_poisson,7d,2026-02-25,2026-03-03,106,0.6590402745845774,0.23327630555555556,0.660377358490566,0.6557971014492754,0.10721698113207546,0.3607777777777778,0.18682889706507327,1.3390300371836485,2026-03-04T05:23:27+00:00
134,2026-03-04T05:23:27+00:00,goals_poisson,60d,2026-01-02,2026-03-03,704,0.6779867697341024,0.2423561616161616,0.5880681818181818,0.6228941474340246,0.05258049242424246,0.7038333333333333,0.09322875678722785,1.1165072516551549,2026-03-04T05:23:27+00:00
133,2026-03-04T05:23:27+00:00,goals_poisson,30d,2026-02-01,2026-03-03,240,0.6573864447984741,0.23248481759259262,0.6416666666666667,0.673913043478261,0.08983055555555554,0.3607777777777778,0.13933943424981807,1.875033218311164,2026-03-04T05:23:27+00:00
126,2026-03-04T05:23:27+00:00,glm_logit,cumulative,2025-10-23,2026-03-03,1750,0.6764958715258683,0.10477186055014225,0.8788571428571429,0.9315392918146855,0.09503581935818337,0.35371711590971056,0.23041359075719386,0.26982898869654226,2026-03-04T05:23:27+00:00
130,2026-03-04T05:23:27+00:00,glm_logit,90d,2025-12-03,2026-03-03,1142,1.0360118029938228,0.16054726596212734,0.8143607705779334,0.8797355473554735,0.14628026184960424,0.35371711590971056,0.22135813828864823,0.20519153824176453,2026-03-04T05:23:27+00:00
127,2026-03-04T05:23:27+00:00,glm_logit,7d,2026-02-25,2026-03-03,106,0.603828852990599,0.14377831905637606,0.8490566037735849,0.9014492753623188,0.20749221093159723,0.6011003362758867,0.9966943308672566,0.5116570698868657,2026-03-04T05:23:27+00:00
129,2026-03-04T05:23:27+00:00,glm_logit,60d,2026-01-02,2026-03-03,704,1.6802750468529764,0.26043221117347737,0.6988636363636364,0.7422339078780795,0.2375902740714811,0.35371711590971056,0.19163533598975954,0.11771732001114017,2026-03-04T05:23:27+00:00
128,2026-03-04T05:23:27+00:00,glm_logit,30d,2026-02-01,2026-03-03,240,0.758782340165476,0.20217414472092976,0.7583333333333333,0.8562091503267975,0.20428346691146684,0.5045194516994804,0.846335981639781,0.3578769877497873,2026-03-04T05:23:27+00:00
121,2026-03-04T05:23:27+00:00,gbdt,cumulative,2025-10-23,2026-03-03,1750,4.44805129253283e-06,2.605978541766189e-11,1.0,1.0,4.448038262590655e-06,4.620407703976517e-06,0.004445419550451346,0.829336835436038,2026-03-04T05:23:27+00:00
125,2026-03-04T05:23:27+00:00,gbdt,90d,2025-12-03,2026-03-03,1142,2.9195249102271e-06,9.211382334660434e-12,1.0,1.0,2.919520304490382e-06,3.06491883900739e-06,0.004022987674032941,0.7768075132270787,2026-03-04T05:23:27+00:00
122,2026-03-04T05:23:27+00:00,gbdt,7d,2026-02-25,2026-03-03,106,2.1174747602990937e-06,4.4887955975997455e-12,1.0,1.0,2.1174725159647337e-06,2.19907927712962e-06,0.011974197219858818,0.5934554220545631,2026-03-04T05:23:27+00:00
124,2026-03-04T05:23:27+00:00,gbdt,60d,2026-01-02,2026-03-03,704,2.363350039095243e-06,5.6562702373620295e-12,1.0,1.0,2.363347210944738e-06,2.4638003986785526e-06,0.006121674992638585,0.7294299536340704,2026-03-04T05:23:27+00:00
123,2026-03-04T05:23:27+00:00,gbdt,30d,2026-02-01,2026-03-03,240,2.1161826504980902e-06,4.48329899149931e-12,1.0,1.0,2.1161804088491186e-06,2.199079277129621e-06,0.012674729221477552,0.6494456682342034,2026-03-04T05:23:27+00:00
