phase,model_name,display_name,params,folds_used,mean_log_loss,mean_brier,mean_accuracy,mean_auc,std_log_loss,std_brier,std_accuracy,std_auc
train_to_validation,glm_ridge,GLM Ridge,c=0.0625; l1_ratio=None; lambda=16; model_name=glm_ridge; penalty_family=ridge,5,0.629255188371687,0.22053984231114532,0.6105263157894736,0.7035425685425685,0.07884973034173946,0.035339198104791435,0.11815760168759815,0.13110801416410808
train_to_validation,glm_ridge,GLM Ridge,c=0.03125; l1_ratio=None; lambda=32; model_name=glm_ridge; penalty_family=ridge,5,0.6295191979876513,0.22019608669155719,0.6105263157894737,0.7126334776334776,0.04883839005666941,0.022860631886806163,0.0917662935482247,0.11953182476832637
train_to_validation,glm_ridge,GLM Ridge,c=0.125; l1_ratio=None; lambda=8; model_name=glm_ridge; penalty_family=ridge,5,0.6375078422694589,0.2238855716699351,0.6105263157894736,0.7059884559884558,0.11218300220392517,0.047774538525733226,0.12275688199674316,0.13541109702545456
train_to_validation,glm_ridge,GLM Ridge,c=0.25; l1_ratio=None; lambda=4; model_name=glm_ridge; penalty_family=ridge,5,0.6519664253226387,0.22885573236868567,0.6,0.707994227994228,0.14426298753431063,0.0585904173490593,0.09761703679469162,0.13172096570664016
train_to_validation,glm_ridge,GLM Ridge,c=0.5; l1_ratio=None; lambda=2; model_name=glm_ridge; penalty_family=ridge,5,0.6685640814823268,0.23410114747149052,0.5894736842105264,0.6941414141414141,0.17170922984615516,0.06706201545601072,0.09055079228465922,0.13646969313803442
train_to_validation,glm_ridge,GLM Ridge,c=1; l1_ratio=None; lambda=1; model_name=glm_ridge; penalty_family=ridge,5,0.6839037278392694,0.23879022749027357,0.5789473684210525,0.6916017316017316,0.19302328495666385,0.07316215865494809,0.12892051277806202,0.14223927778114057
train_to_validation,glm_ridge,GLM Ridge,c=2; l1_ratio=None; lambda=0.5; model_name=glm_ridge; penalty_family=ridge,5,0.6956559574657541,0.24236982138496127,0.5684210526315789,0.6869480519480519,0.2078108061674087,0.07715627501317632,0.13885164166603073,0.13981121835191518
train_to_validation,glm_ridge,GLM Ridge,c=4; l1_ratio=None; lambda=0.25; model_name=glm_ridge; penalty_family=ridge,5,0.7037948973714494,0.2448802927239329,0.5789473684210525,0.6846753246753247,0.21746047770071206,0.07969165941757524,0.14509525002200235,0.1412541177222986
train_to_validation,glm_ridge,GLM Ridge,c=8; l1_ratio=None; lambda=0.125; model_name=glm_ridge; penalty_family=ridge,5,0.7090694105377928,0.24655152120887838,0.5684210526315789,0.6891702741702742,0.2232649493106583,0.08115982613673442,0.14661461344404336,0.1413013700598681
train_to_validation,glm_ridge,GLM Ridge,c=16; l1_ratio=None; lambda=0.0625; model_name=glm_ridge; penalty_family=ridge,5,0.7125931706896059,0.24772595850368165,0.5684210526315789,0.6915512265512266,0.22680811252990332,0.08204999948004041,0.14661461344404336,0.13918113665433662
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.0625; l1_ratio=0.05; lambda=16; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6303858222424824,0.22101394506563574,0.6105263157894736,0.7035425685425685,0.06944238390488935,0.031478013482162996,0.11815760168759815,0.12445332902717841
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.0625; l1_ratio=0.15; lambda=16; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6327298864124304,0.22191512180058423,0.6105263157894737,0.7104689754689755,0.05404393096143786,0.024963518681838135,0.0917662935482247,0.12621350600911604
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.125; l1_ratio=0.15; lambda=8; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6336129745506568,0.22251199456416232,0.6210526315789473,0.7080952380952381,0.09207243418637177,0.040178308842034695,0.11721609184905309,0.1317624296545898
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.125; l1_ratio=0.3; lambda=8; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6338703051057221,0.2228031592390058,0.6210526315789473,0.7057647907647908,0.07536327507292713,0.033603563792812166,0.11239029738980325,0.13226547684380507
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.03125; l1_ratio=0.05; lambda=32; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6346124895786935,0.22235282697954029,0.6105263157894737,0.7127922077922078,0.03845522083291775,0.018185046019896373,0.06315789473684208,0.11787149050643142
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.125; l1_ratio=0.05; lambda=8; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6358554509792984,0.2233048397564248,0.6210526315789473,0.7059884559884558,0.10569523197203047,0.04541754041695077,0.11721609184905309,0.13541109702545456
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.125; l1_ratio=0.5; lambda=8; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6359082368235838,0.22348224029765018,0.6105263157894736,0.6987806637806638,0.06212632785995142,0.028508782455919358,0.11815760168759815,0.1238281914435948
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.25; l1_ratio=0.85; lambda=4; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6364801651269214,0.2239812185725226,0.6105263157894736,0.7032756132756133,0.08549038939655351,0.037581229325385865,0.11815760168759815,0.12299598337810114
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.25; l1_ratio=0.95; lambda=4; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6371455514492796,0.22423088888687195,0.6105263157894736,0.7032756132756133,0.08119052412027461,0.03600423950250603,0.11815760168759815,0.12299598337810114
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.25; l1_ratio=0.7; lambda=4; model_name=glm_elastic_net; penalty_family=elastic_net,5,0.6378112127466482,0.2245880739625307,0.6105263157894736,0.7057647907647908,0.09205097150023037,0.03987318084544471,0.11815760168759815,0.13226547684380507
