reference_model,comparison_model,delta_log_loss_mean,delta_log_loss_p025,delta_log_loss_p500,delta_log_loss_p975,delta_log_loss_prob_reference_better,delta_brier_mean,delta_brier_p025,delta_brier_p500,delta_brier_p975,delta_brier_prob_reference_better
glm_elastic_net,intercept_only,0.02929789024635741,-0.0064867506660434195,0.026698738226347662,0.07545343591846276,0.91,0.01384281842924802,-0.002773271861494232,0.012587253656573524,0.03582110829950324,0.9
glm_elastic_net,glm_vanilla,0.019371958244034905,-0.004436212388694998,0.019621980962343577,0.051285778172743844,0.95,0.009327815702547832,7.561124363215314e-05,0.008860225420549539,0.02241831195662941,0.97
glm_elastic_net,glm_lasso,0.008030985531255244,-0.002305059855892552,0.007545121057530579,0.01967125140401804,0.92,0.003639537662804456,-0.0006007790324248106,0.003570582391331692,0.008881070183723593,0.93
glm_elastic_net,glm_ridge,0.0020720964979722245,-0.0021997160661643422,0.0019986101020479374,0.005875331291883804,0.86,0.0009859746440419451,-0.0008343677869456972,0.0009841499795935904,0.0027092072997675254,0.89
