phase,model_name,display_name,params,folds_used,mean_log_loss,mean_brier,mean_accuracy,mean_auc,std_log_loss,std_brier,std_accuracy,std_auc
train_to_validation,glm_ridge,GLM Ridge,c=0.1,5,0.5834283454289386,0.19804898721812458,0.6869565217391306,0.7801926406926407,0.04769147066169869,0.021699202661376527,0.06389973242043073,0.06733047352466046
train_to_validation,glm_ridge,GLM Ridge,c=0.05,5,0.5836114804919244,0.19843227615392772,0.6869565217391305,0.782469696969697,0.0394414977363546,0.018478948822452934,0.06956521739130432,0.0663912278187085
train_to_validation,glm_ridge,GLM Ridge,c=0.25,5,0.5854109491127064,0.1985249612017707,0.6956521739130436,0.7809704184704185,0.054263916577566074,0.024112594192809946,0.07275304578557179,0.0674019731339891
train_to_validation,glm_ridge,GLM Ridge,c=0.5,5,0.5869690035045194,0.19901009278603002,0.6956521739130436,0.7813354978354979,0.05671590390512015,0.024961153866155703,0.07275304578557179,0.06585726308344002
train_to_validation,glm_ridge,GLM Ridge,c=1,5,0.5880647141270388,0.19937524768334927,0.691304347826087,0.7813333333333334,0.05790130692599178,0.02534670899841191,0.06929294543699663,0.06627111649536846
train_to_validation,glm_ridge,GLM Ridge,c=2,5,0.5887432701949388,0.1996104249900055,0.691304347826087,0.7805577200577201,0.058404570119641605,0.025494522074891102,0.06929294543699663,0.06547046050003638
train_to_validation,glm_ridge,GLM Ridge,c=4,5,0.5891412298318066,0.1997525193139426,0.691304347826087,0.7797640692640693,0.05863714903625859,0.025557195276449562,0.06929294543699663,0.06413888898526861
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.1,5,0.5846141963469862,0.19866476039924197,0.6869565217391305,0.7840772005772005,0.04735701819208245,0.02171796844770876,0.06536215816683871,0.06930672366876828
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.25; l1_ratio=0.1,5,0.5854599616542199,0.1985763065080078,0.6869565217391305,0.7825238095238095,0.05463968807224632,0.02435797732524281,0.062403043888727486,0.06828662164437233
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.25; l1_ratio=0.25,5,0.5861125973244283,0.1989076586645086,0.6869565217391305,0.7829227994227994,0.054776997276858246,0.02452430225981312,0.062403043888727486,0.06853590779514672
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.25,5,0.5865194321901093,0.19957377072914817,0.691304347826087,0.7833131313131313,0.045492447224361694,0.021041012192088836,0.06929294543699663,0.07025862327320402
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.1,5,0.5865607092541277,0.19984083149527093,0.6956521739130436,0.782916305916306,0.037373971861161835,0.01774026478089725,0.059930646748218346,0.06982303143969674
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.5; l1_ratio=0.25,5,0.58671906129819,0.1989163751177335,0.6869565217391305,0.7825418470418471,0.0575381475410785,0.025419043779689364,0.062403043888727486,0.06884683978238611
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.5; l1_ratio=0.1,5,0.5867631401051941,0.19892486336716214,0.691304347826087,0.7825079365079366,0.0569898082960497,0.025120300470157092,0.06929294543699663,0.06717914858230661
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.5; l1_ratio=0.5,5,0.5871213819558185,0.19913577572551003,0.6869565217391305,0.7829025974025974,0.05780461462637421,0.025635443635809912,0.062403043888727486,0.0681417770145773
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.75,5,0.5873945087195442,0.19909999373436155,0.6869565217391305,0.7825396825396826,0.05967468791108254,0.026278171613716664,0.062403043888727486,0.0691483671674869
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.25; l1_ratio=0.5,5,0.5874351471296182,0.19956545686941668,0.691304347826087,0.7806392496392496,0.05372501543940185,0.024205558714132682,0.06929294543699663,0.07036360517287593
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.5,5,0.5875528741276171,0.19914684099398355,0.6869565217391305,0.7825281385281385,0.05903891903197726,0.025942565773231542,0.062403043888727486,0.06745046553212486
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.25,5,0.5877116202303702,0.1992161449290924,0.691304347826087,0.7817503607503609,0.05844531705884124,0.025640593898386955,0.06929294543699663,0.06708220346641473
train_to_validation,glm_elastic_net,Elastic Net GLM,c=1; l1_ratio=0.1,5,0.5878475159843145,0.19927856651278134,0.6956521739130436,0.7813333333333334,0.05810207571002057,0.025460681944025263,0.07275304578557179,0.06627111649536846
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.5; l1_ratio=0.75,5,0.5879115730243152,0.19953315610431815,0.691304347826087,0.779498556998557,0.0574440805401607,0.025564515424088212,0.058976782461958845,0.07111835444547672
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.25; l1_ratio=0.75,5,0.5882908419224048,0.20001494519542445,0.6956521739130436,0.7802063492063492,0.051975309124039665,0.023548925958060865,0.07275304578557179,0.06851377060407525
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.5,5,0.5896454434325087,0.20104727004645281,0.7043478260869567,0.782138528138528,0.040901677540540415,0.01915896695639852,0.07728864710709207,0.0698108711407318
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.25,5,0.5906596231969005,0.2017062991147361,0.7086956521739132,0.7844653679653679,0.032768994692568915,0.0157635848305877,0.062403043888727486,0.07174046284164164
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.75,5,0.5933186955859016,0.2027980115935315,0.7086956521739131,0.7788578643578644,0.03722166693182848,0.017647448509603016,0.07352841097951202,0.06764563555195967
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.5,5,0.599220647672029,0.20564224292299818,0.6913043478260871,0.7784790764790765,0.026365155033590472,0.012899177485738933,0.04841534228547845,0.06746124416182567
