phase,model_name,display_name,params,folds_used,mean_log_loss,mean_brier,mean_accuracy,mean_auc,std_log_loss,std_brier,std_accuracy,std_auc
train_to_validation,glm_ridge,GLM Ridge,c=0.05,5,0.6908981678232268,0.24832460331695297,0.5358490566037737,0.5830509745127437,0.019763045190172253,0.009491064252730769,0.03289735051728809,0.02829810712640239
train_to_validation,glm_ridge,GLM Ridge,c=0.1,5,0.703230036730283,0.2530476653655368,0.5358490566037736,0.5735207396301849,0.02074051440169001,0.009810167451592244,0.03697343007974608,0.03228665415239919
train_to_validation,glm_ridge,GLM Ridge,c=0.25,5,0.7240976081238004,0.2602698421837911,0.5245283018867924,0.5671914042978511,0.022377246400518698,0.009946930075632052,0.022003592056019997,0.03567798096788095
train_to_validation,glm_ridge,GLM Ridge,c=0.5,5,0.7425374827179925,0.2659965111631782,0.5358490566037736,0.5614542728635682,0.022118482053444622,0.008674998863930522,0.03885143449429056,0.03529521248041941
train_to_validation,glm_ridge,GLM Ridge,c=1,5,0.7643709566601966,0.27232103995311174,0.5245283018867924,0.5594552723638181,0.01998383571859196,0.006210568302779219,0.032461604781292924,0.03642117349833106
train_to_validation,glm_ridge,GLM Ridge,c=2,5,0.7893841134606528,0.27892270633991756,0.5207547169811321,0.5542853573213394,0.019613793082565112,0.004403766414727319,0.056729420295746805,0.031054508551947347
train_to_validation,glm_ridge,GLM Ridge,c=4,5,0.8178656466406677,0.28573804882000486,0.5132075471698113,0.551431784107946,0.024447047100963824,0.0051572890097982245,0.06014104698305367,0.03599715066772776
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.5,5,0.6724301079827454,0.24016036774416127,0.5622641509433962,0.6018940529735133,0.015756629641941997,0.007779355398726203,0.030188679245283012,0.0308356241071426
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.75,5,0.6730874336152769,0.24033442232574648,0.558490566037736,0.5998238380809595,0.010075218367523772,0.00489737641007668,0.02559369804952931,0.023329872743267196
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.75,5,0.6737180314579655,0.24072962581432716,0.5433962264150944,0.5947126436781609,0.02235708160749446,0.010931292990303836,0.0384831661403229,0.03874156509366751
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.25,5,0.6759671138781762,0.2416964747122535,0.5547169811320755,0.5877961019490254,0.022912505889404366,0.01117045191698999,0.04559639990035687,0.038087623419891393
