reference_model,comparison_model,delta_log_loss_mean,delta_log_loss_p025,delta_log_loss_p500,delta_log_loss_p975,delta_log_loss_prob_reference_better,delta_brier_mean,delta_brier_p025,delta_brier_p500,delta_brier_p975,delta_brier_prob_reference_better
mars_hinge,glm_vanilla,6.288076920839407,5.515363708354158,6.308673541835638,7.044304804349283,1.0,0.2653766010553895,0.20017552613084008,0.26529300363024944,0.3304373905934782,1.0
mars_hinge,dglm_margin,1.4591175995196204,1.0444108518133062,1.4517525337336412,1.9089922214334631,1.0,0.10081202131056122,0.058660847397465486,0.10001580846599065,0.144556370923094,1.0
mars_hinge,glm_ridge,0.9465489016391018,0.6719224623844874,0.9455194999773681,1.2193813595199428,1.0,0.12228017791055411,0.06721005073552867,0.12222235952014288,0.17462918488131163,1.0
mars_hinge,glm_elastic_net,0.2931501689852049,0.1615050422848154,0.29360095226705685,0.43249320670611635,1.0,0.06637237610050674,0.024515707502796774,0.06597761109453668,0.1079860619634356,0.998
mars_hinge,glmm_logit,0.23404832010521365,0.13187417919120484,0.23220825725459598,0.33913198855786064,1.0,0.07470027836925838,0.038734018466506925,0.07421975313306495,0.1127641703621626,1.0
mars_hinge,glm_lasso,0.12132669199586024,0.026591630276794617,0.1217576330285372,0.2235760573333406,0.992,0.03520413529425496,-0.001091628073085858,0.03548183329146076,0.07179743483327512,0.97
mars_hinge,gam_spline,0.051905870846015924,-0.012512890643504693,0.0509029741442793,0.11792303601582857,0.937,0.013673456039533596,-0.01213985060549195,0.013544048521586041,0.03907058781638706,0.843
mars_hinge,intercept_only,0.02461480376543894,-0.018689374634718803,0.025586332036090842,0.06342701829789371,0.875,0.014902258362942903,-0.003326575496927148,0.01549617548747248,0.0318171924835621,0.944
