reference_model,comparison_model,delta_log_loss_mean,delta_log_loss_p025,delta_log_loss_p500,delta_log_loss_p975,delta_log_loss_prob_reference_better,delta_brier_mean,delta_brier_p025,delta_brier_p500,delta_brier_p975,delta_brier_prob_reference_better
glm_elastic_net,intercept_only,0.0694705433237634,0.03380975810464908,0.07001507131936952,0.10513974094452615,0.999,0.034833471602068886,0.019367526079765853,0.035018571610593976,0.05091966117465002,0.999
glm_elastic_net,glm_vanilla,0.002188029727275053,-0.0023178874251343516,0.002176215820710148,0.006590855044437169,0.835,0.0005847615142893293,-0.0011133834016338307,0.0005683653308404119,0.0022378803678806867,0.751
glm_elastic_net,glm_lasso,0.0012523472489454105,-0.0035346029000132423,0.001216236690066208,0.005980755227028772,0.699,0.000590001592623643,-0.0014972256928611552,0.0006061369039137149,0.002716159161091664,0.708
glm_elastic_net,glm_ridge,0.0001449487292884145,-0.0011856198823623932,0.0001228861662436742,0.0015213793561379065,0.586,1.8136179118672545e-05,-0.0005550503277006645,1.3840639553605594e-05,0.0005870767903586149,0.515
