phase,model_name,display_name,params,folds_used,mean_log_loss,mean_brier,mean_accuracy,mean_auc,std_log_loss,std_brier,std_accuracy,std_auc
train_to_validation,glm_ridge,GLM Ridge,c=0.05,5,0.6155563561891626,0.2046736970640323,0.7347826086956523,0.7688152958152958,0.08333048183724487,0.027830295751558945,0.034782608695652195,0.0550379465551819
train_to_validation,glm_ridge,GLM Ridge,c=0.1,5,0.6290989934777363,0.20612841888353,0.726086956521739,0.7646637806637807,0.10120610461974175,0.03131936345368666,0.056017820550978814,0.05779462289560201
train_to_validation,glm_ridge,GLM Ridge,c=0.25,5,0.6529193944540751,0.20925574195650962,0.7217391304347827,0.7615584415584415,0.12524399235942976,0.03549700101084275,0.04433930011819816,0.06081667331910568
train_to_validation,glm_ridge,GLM Ridge,c=0.5,5,0.6782565084094473,0.21343117495166813,0.7043478260869566,0.7560526695526695,0.1446654280883789,0.038279167284049787,0.04682752006203916,0.061398317149443535
train_to_validation,glm_ridge,GLM Ridge,c=1,5,0.7126488946319552,0.21928396857223947,0.708695652173913,0.7571637806637807,0.16516730527268658,0.04043652435628867,0.05768043113661564,0.06397809464066809
train_to_validation,glm_ridge,GLM Ridge,c=2,5,0.7555474451227827,0.22588274610478223,0.7000000000000001,0.7558939393939393,0.18634659640363935,0.0418480595801482,0.0573517650359692,0.06484004649783975
train_to_validation,glm_ridge,GLM Ridge,c=4,5,0.8037785231336233,0.23256343294953155,0.691304347826087,0.7466226551226551,0.20676569871238623,0.04234897973110375,0.06929294543699661,0.06158236771431771
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.5,5,0.5937460954198166,0.20310726021184414,0.7130434782608696,0.7727922077922079,0.021093365522246877,0.01057613593828276,0.03478260869565218,0.055513566852128264
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.75,5,0.5940110118087543,0.20259892976709062,0.7,0.7707496392496392,0.026021355015845515,0.012334045952074758,0.034782608695652154,0.050868815441868706
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.25,5,0.5961804601686936,0.202980467318901,0.6869565217391304,0.7742821067821068,0.03752792640138933,0.01573595405606305,0.017391304347826077,0.05376887271719412
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.5,5,0.598759830373551,0.20342531980244366,0.6869565217391305,0.7723138528138529,0.04415815704781578,0.017498529311254573,0.02608695652173911,0.051541788195222
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.75,5,0.6058787824978669,0.20865212581808973,0.6782608695652174,0.7667958152958153,0.021589624153308423,0.010620246517885712,0.04642207935665785,0.0755318006678986
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.05; l1_ratio=0.1,5,0.6063397775289396,0.20486027280298064,0.7,0.7699963924963924,0.06557073925176693,0.023734829922186205,0.034782608695652154,0.05597887138844517
train_to_validation,glm_elastic_net,Elastic Net GLM,c=0.1; l1_ratio=0.25,5,0.6114615378755077,0.2060828318020008,0.7,0.7661334776334776,0.0712009028522039,0.02474199612337943,0.034782608695652154,0.04875109048914645
