feature,missing_rate,n_unique,std,univariate_score,status,reason,retained_as,correlation_anchor,correlation_abs
arena_margin_effect,0.0,45,2.9310297710596127,0.3049650433910572,kept,,arena_margin_effect,,
diff_darko_like_total,0.0,702,1.8266334909937505,0.1716778439350109,kept,,diff_darko_like_total,,
diff_projected_absence_pressure,0.0,105,0.09921727423353395,0.011832837384335156,kept,,diff_projected_absence_pressure,,
diff_rotation_stability,0.0,708,0.12402273057258434,0.006877511342762758,kept,,diff_rotation_stability,,
elo_home_prob,0.0,707,0.0839817879462243,0.26265243752883255,kept,,elo_home_prob,,
rest_diff,0.0,389,4.28094308234186,0.03881524237858144,kept,,rest_diff,,
