feature,status,best_shape,family_hint,holdout_log_loss_gain_best,holdout_brier_gain_best,train_log_loss_gain_best,shape_gap_best,direction_changes_best,recommendation,skip_reason,n_unique,n_non_missing,smooth_holdout_log_loss_gain,hinge_holdout_log_loss_gain,smooth_holdout_brier_gain,hinge_holdout_brier_gain,smooth_shape_gap,hinge_shape_gap
diff_rotation_stability,strong,hinge,mars,0.015423089874273543,0.0058876772355733464,0.0037024230198026142,0.07098346227559071,2,consider_piecewise_transform_or_mars,,491,507,0.013338404850504304,0.015423089874273543,0.0054832319855721845,0.0058876772355733464,0.08807501935542661,0.07098346227559071
rest_diff,strong,hinge,mars,0.005907141597759069,0.0030609141742425072,0.0020366839162484496,0.0609726059519442,2,consider_piecewise_transform_or_mars,,298,507,7.453260721090871e-05,0.005907141597759069,0.0005974236996060533,0.0030609141742425072,0.055240672947603375,0.0609726059519442
elo_home_prob,strong,hinge,mars,0.0050023966390146946,0.0019000402176438391,0.002576079828175537,0.07276673905523595,1,consider_piecewise_transform_or_mars,,490,507,0.00014084248497292506,0.0050023966390146946,0.0009071779163788984,0.0019000402176438391,0.07845048762501,0.07276673905523595
diff_projected_absence_pressure,moderate,smooth,gam,0.00023296140811801536,0.00022517934519941663,0.0038340981850006894,0.08018855935735392,1,consider_spline_transform_or_gam,,89,507,0.00023296140811801536,-0.0011818839754997867,0.00022517934519941663,-0.00010643166577259389,0.08018855935735392,0.11688827568463711
arena_margin_effect,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,44,507,-0.01407127735329794,-0.0038308870432404163,-0.0033942790212180274,-0.0004831394388765675,0.15071877665164995,0.06743443608344785
diff_darko_like_total,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,485,507,-0.006074556437472789,-0.006046214693979812,-0.0025081511628363418,-0.002145913449800002,0.048673114569091847,0.04749364885308871
